"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","inCommunity","annotatedInCommunity","viralTarget"
"64.1","query_1",TRUE,0.0191127890514471,1,3,1,0.333333333333333,1,"GO:0007100","hsapien_HuRI_GOBP_EXP","mitotic centrosome separation",4238,1775,"X","NUP62","ACOT11,CCHCR1,HGS,HSF4,MKRN3,NUP54,NUP62,OIP5,PPFIBP2","HGS,HSF4,NUP62","ACOT11,MKRN3"
"64.2","query_1",TRUE,0.0191127890514471,1,3,1,0.333333333333333,1,"GO:1903438","hsapien_HuRI_GOBP_EXP","positive regulation of mitotic cytokinetic process",4238,2600,"X","NUP62","ACOT11,CCHCR1,HGS,HSF4,MKRN3,NUP54,NUP62,OIP5,PPFIBP2","HGS,HSF4,NUP62","ACOT11,MKRN3"
"64.3","query_1",TRUE,0.038216556252966,2,3,1,0.333333333333333,0.5,"GO:0046601","hsapien_HuRI_GOBP_EXP","positive regulation of centriole replication",4238,861,"X","NUP62","ACOT11,CCHCR1,HGS,HSF4,MKRN3,NUP54,NUP62,OIP5,PPFIBP2","HGS,HSF4,NUP62","ACOT11,MKRN3"
"64.4","query_1",TRUE,0.038216556252966,2,3,1,0.333333333333333,0.5,"GO:0098534","hsapien_HuRI_GOBP_EXP","centriole assembly",4238,1116,"X","NUP62","ACOT11,CCHCR1,HGS,HSF4,MKRN3,NUP54,NUP62,OIP5,PPFIBP2","HGS,HSF4,NUP62","ACOT11,MKRN3"
"67.1","query_1",TRUE,4.2088714170311e-05,4,3,2,0.666666666666667,0.5,"GO:1903071","hsapien_HuRI_GOBP_EXP","positive regulation of ER-associated ubiquitin-dependent protein catabolic process",4238,654,"X,X","UBQLN1,UBQLN2","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.2","query_1",TRUE,0.00227190929961357,26,3,2,0.666666666666667,0.0769230769230769,"GO:0030433","hsapien_HuRI_GOBP_EXP","ubiquitin-dependent ERAD pathway",4238,233,"X,X","UBQLN1,UBQLN2","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.3","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:0051792","hsapien_HuRI_GOBP_EXP","medium-chain fatty acid biosynthetic process",4238,185,"X","ACOT7","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.4","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:0036116","hsapien_HuRI_GOBP_EXP","long-chain fatty-acyl-CoA catabolic process",4238,872,"X","ACOT7","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.5","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:1900535","hsapien_HuRI_GOBP_EXP","palmitic acid biosynthetic process",4238,2389,"X","ACOT7","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.6","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:0036114","hsapien_HuRI_GOBP_EXP","medium-chain fatty-acyl-CoA catabolic process",4238,4028,"X","ACOT7","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.7","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:1901340","hsapien_HuRI_GOBP_EXP","negative regulation of store-operated calcium channel activity",4238,4167,"X","UBQLN1","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.8","query_1",TRUE,0.01486550259557,1,3,1,0.333333333333333,1,"GO:1900186","hsapien_HuRI_GOBP_EXP","negative regulation of clathrin-dependent endocytosis",4238,5045,"X","UBQLN2","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.9","query_1",TRUE,0.0297239881967514,2,3,1,0.333333333333333,0.5,"GO:1904021","hsapien_HuRI_GOBP_EXP","negative regulation of G protein-coupled receptor internalization",4238,449,"X","UBQLN2","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.10","query_1",TRUE,0.0297239881967514,2,3,1,0.333333333333333,0.5,"GO:0016241","hsapien_HuRI_GOBP_EXP","regulation of macroautophagy",4238,2943,"X","UBQLN2","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.11","query_1",TRUE,0.0297239881967514,2,3,1,0.333333333333333,0.5,"GO:1902175","hsapien_HuRI_GOBP_EXP","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",4238,3165,"X","UBQLN1","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"67.12","query_1",TRUE,0.0445754584600712,3,3,1,0.333333333333333,0.333333333333333,"GO:0015937","hsapien_HuRI_GOBP_EXP","coenzyme A biosynthetic process",4238,2887,"X","ACOT7","ACOT7,CLEC19A,DAZAP2,UBQLN1,UBQLN2,UBXN7","ACOT7,UBQLN1,UBQLN2","UBQLN1,UBQLN2"
"127.1","query_1",TRUE,0.0259556394525686,1,5,1,0.2,1,"GO:0050908","hsapien_HuRI_GOBP_EXP","detection of light stimulus involved in visual perception",4238,145,"X","REEP6","ADTRP,ARL6IP1,GMDS,NTAQ1,REEP6,SNX11,TMED8","ADTRP,ARL6IP1,GMDS,REEP6,SNX11","ARL6IP1,REEP6"
"127.2","query_1",TRUE,0.0259556394525686,1,5,1,0.2,1,"GO:0003332","hsapien_HuRI_GOBP_EXP","negative regulation of extracellular matrix constituent secretion",4238,1135,"X","ADTRP","ADTRP,ARL6IP1,GMDS,NTAQ1,REEP6,SNX11,TMED8","ADTRP,ARL6IP1,GMDS,REEP6,SNX11","ARL6IP1,REEP6"
"127.3","query_1",TRUE,0.0259556394525686,1,5,1,0.2,1,"GO:0019673","hsapien_HuRI_GOBP_EXP","GDP-mannose metabolic process",4238,4181,"X","GMDS","ADTRP,ARL6IP1,GMDS,NTAQ1,REEP6,SNX11,TMED8","ADTRP,ARL6IP1,GMDS,REEP6,SNX11","ARL6IP1,REEP6"
"127.4","query_1",TRUE,0.0259556394525686,1,5,1,0.2,1,"GO:0042351","hsapien_HuRI_GOBP_EXP","'de novo' GDP-L-fucose biosynthetic process",4238,4263,"X","GMDS","ADTRP,ARL6IP1,GMDS,NTAQ1,REEP6,SNX11,TMED8","ADTRP,ARL6IP1,GMDS,REEP6,SNX11","ARL6IP1,REEP6"
